lottery,date,jackpot,cash_value,match_5_bonus_winners,match_5_bonus_prize,match_5_bonus_multiplier_winners,match_5_bonus_multiplier_prize,match_5_winners,match_5_prize,match_5_multiplier_winners,match_5_multiplier_prize,match_4_bonus_winners,match_4_bonus_prize,match_4_bonus_multiplier_winners,match_4_bonus_multiplier_prize,match_4_winners,match_4_prize,match_4_multiplier_winners,match_4_multiplier_prize,match_3_bonus_winners,match_3_bonus_prize,match_3_bonus_multiplier_winners,match_3_bonus_multiplier_prize,match_3_winners,match_3_prize,match_3_multiplier_winners,match_3_multiplier_prize,match_2_bonus_winners,match_2_bonus_prize,match_2_bonus_multiplier_winners,match_2_bonus_multiplier_prize,match_1_bonus_winners,match_1_bonus_prize,match_1_bonus_multiplier_winners,match_1_bonus_multiplier_prize,match_0_bonus_winners,match_0_bonus_prize,match_0_bonus_multiplier_winners,match_0_bonus_multiplier_prize
megamillions,2010-06-04,$17 Million,$11.0 Million,,,,,3,250000,0,1,,,,,1335,150,67,600,,,,,25325,10,1660,40,,,,,,,,,,,,
megamillions,2010-06-08,$26 Million,$16.9 Million,,,,,1,250000,0,1,,,,,1123,150,73,450,,,,,22473,10,1384,30,,,,,,,,,,,,
megamillions,2010-06-11,$36 Million,$23.3 Million,,,,,5,250000,0,1,,,,,1309,150,77,450,,,,,25422,10,1486,30,,,,,,,,,,,,
megamillions,2010-06-15,$12 Million,$7.7 Million,,,,,9,250000,1,1,,,,,1850,150,126,600,,,,,21850,10,1273,40,,,,,,,,,,,,
megamillions,2010-06-18,$17 Million,$11.0 Million,,,,,2,250000,0,1,,,,,982,150,57,600,,,,,21399,10,1366,40,,,,,,,,,,,,
megamillions,2010-06-22,$26 Million,$16.9 Million,,,,,11,250000,0,1,,,,,1662,150,101,600,,,,,24609,10,1633,40,,,,,,,,,,,,
megamillions,2010-06-25,$12 Million,$7.8 Million,,,,,4,250000,0,1,,,,,1673,150,94,600,,,,,25601,10,1745,40,,,,,,,,,,,,
megamillions,2010-06-29,$16 Million,$10.5 Million,,,,,5,250000,1,1,,,,,1254,150,79,450,,,,,19606,10,1284,30,,,,,,,,,,,,
megamillions,2010-07-02,$25 Million,$16.5 Million,,,,,2,250000,1,1,,,,,1303,150,78,600,,,,,28005,10,1770,40,,,,,,,,,,,,
megamillions,2010-07-06,$34 Million,$22.4 Million,,,,,4,250000,0,1,,,,,942,150,42,300,,,,,18462,10,1148,20,,,,,,,,,,,,
megamillions,2010-07-09,$43 Million,$28.1 Million,,,,,6,250000,1,1,,,,,1069,150,59,600,,,,,20399,10,1174,40,,,,,,,,,,,,
megamillions,2010-07-13,$52 Million,$33.9 Million,,,,,4,250000,0,1,,,,,1642,150,107,450,,,,,27855,10,1776,30,,,,,,,,,,,,
megamillions,2010-07-16,$64 Million,$42.3 Million,,,,,7,250000,0,1,,,,,1551,150,90,450,,,,,25171,10,1457,30,,,,,,,,,,,,
megamillions,2010-07-20,$12 Million,$7.9 Million,,,,,2,250000,0,1,,,,,1181,150,71,450,,,,,20625,10,1283,30,,,,,,,,,,,,
megamillions,2010-07-23,$16 Million,$10.5 Million,,,,,4,250000,1,1,,,,,1024,150,61,300,,,,,20790,10,1346,20,,,,,,,,,,,,
megamillions,2010-07-27,$24 Million,$15.7 Million,,,,,15,250000,1,1,,,,,2216,150,122,600,,,,,27097,10,1731,40,,,,,,,,,,,,
megamillions,2010-07-30,$33 Million,$21.8 Million,,,,,4,250000,1,1,,,,,1007,150,62,600,,,,,20068,10,1198,40,,,,,,,,,,,,
megamillions,2010-08-03,$42 Million,$27.7 Million,,,,,2,250000,0,1,,,,,1247,150,72,300,,,,,21527,10,1345,20,,,,,,,,,,,,
megamillions,2010-08-06,$53 Million,$35.2 Million,,,,,10,250000,1,1,,,,,1438,150,100,450,,,,,25839,10,1525,30,,,,,,,,,,,,
megamillions,2010-08-10,$64 Million,$42.6 Million,,,,,5,250000,0,1,,,,,1320,150,92,300,,,,,25680,10,1510,20,,,,,,,,,,,,
megamillions,2010-08-13,$75 Million,$50.6 Million,,,,,2,250000,0,1,,,,,1556,150,80,600,,,,,28837,10,1575,40,,,,,,,,,,,,
megamillions,2010-08-17,$86 Million,$58.9 Million,,,,,9,250000,1,1,,,,,1448,150,73,600,,,,,28120,10,1560,40,,,,,,,,,,,,
megamillions,2010-08-20,$100 Million,$69.1 Million,,,,,8,250000,1,1,,,,,2258,150,139,600,,,,,39575,10,1975,40,,,,,,,,,,,,
megamillions,2010-08-24,$115 Million,$79.9 Million,,,,,7,250000,1,1,,,,,2337,150,119,450,,,,,42238,10,2277,30,,,,,,,,,,,,
megamillions,2010-08-27,$133 Million,$92.5 Million,,,,,6,250000,0,1,,,,,2743,150,114,600,,,,,51781,10,2554,40,,,,,,,,,,,,
megamillions,2010-08-31,$12 Million,$8.3 Million,,,,,3,250000,0,1,,,,,1110,150,86,450,,,,,18584,10,1321,30,,,,,,,,,,,,
megamillions,2010-09-03,$16 Million,$10.8 Million,,,,,3,250000,0,1,,,,,1431,150,102,600,,,,,26175,10,1844,40,,,,,,,,,,,,
megamillions,2010-09-07,$25 Million,$17.1 Million,,,,,4,250000,0,1,,,,,1319,150,100,600,,,,,21979,10,1597,40,,,,,,,,,,,,
megamillions,2010-09-10,$34 Million,$22.9 Million,,,,,16,250000,1,1,,,,,2460,150,180,450,,,,,28789,10,2075,30,,,,,,,,,,,,
megamillions,2010-09-14,$44 Million,$29.9 Million,,,,,5,250000,0,1,,,,,1061,150,82,600,,,,,21430,10,1408,40,,,,,,,,,,,,
megamillions,2010-09-17,$54 Million,$36.5 Million,,,,,17,250000,3,1,,,,,2056,150,121,450,,,,,34395,10,2225,30,,,,,,,,,,,,
megamillions,2010-09-21,$12 Million,$8.1 Million,,,,,5,250000,1,1,,,,,923,150,57,600,,,,,19210,10,1378,40,,,,,,,,,,,,
